# Name : VHPS_140_140_3.5_T3
# Stage: 1
# Units: length:mm angle:deg 
id,x,y,z
0,227.3219,87.5521,-9.1082
1,234.8474,88.6062,-13.0912
2,424.6426,95.5470,-6.2194
3,426.9149,95.2801,1.9445
4,225.2561,84.3716,-11.4159
5,230.2153,84.3773,-8.5650
6,236.5728,84.5572,-9.4491
7,278.5680,85.9043,-8.1356
8,286.2848,86.3973,-12.0361
9,291.8451,86.4960,-10.6214
10,297.1154,86.5870,-8.5093
11,339.2612,88.0630,-5.7937
12,369.7894,88.6185,-4.1732
13,381.0375,89.0017,-1.3391
14,420.3001,90.1805,-3.8208
15,424.0957,90.1290,1.3269
16,92.1838,76.1869,-9.5784
17,116.6233,77.2179,-13.8813
18,122.3349,77.3930,-13.4822
19,127.9317,77.5195,-12.6840
20,133.9143,77.7123,-13.1209
21,139.2418,77.8111,-11.4183
22,144.7560,77.9133,-10.3147
23,151.6033,78.4107,-13.3572
24,157.8267,78.7581,-14.3721
25,163.4435,78.7960,-13.4908
26,169.3707,78.8923,-13.5315
27,175.2413,79.1659,-13.3635
28,181.1166,79.3814,-13.1829
29,186.8707,79.5558,-12.6227
30,192.8698,79.7965,-12.7466
31,198.4950,79.8324,-11.7786
32,204.2387,79.9083,-11.1328
33,210.1779,80.0701,-11.0111
34,216.1386,80.1848,-10.9217
35,221.6920,80.1045,-9.7002
36,226.9866,80.1858,-7.7702
37,233.0478,80.4058,-7.8905
38,238.9979,80.5943,-7.6854
39,244.7655,80.7104,-6.9802
40,250.7156,80.9018,-6.7281
41,256.1080,80.9920,-5.0275
42,262.1273,81.1388,-4.9177
43,268.5109,81.3283,-5.6918
44,274.6195,81.4529,-5.7406
45,280.5507,81.5990,-5.3221
46,286.9541,81.7589,-6.0311
47,292.9133,81.9345,-5.6257
48,298.9564,82.1186,-5.3992
49,305.1846,82.2219,-5.5882
50,311.1985,82.3824,-5.2410
51,316.9927,82.5121,-4.3632
52,323.0298,82.6664,-4.0303
53,329.0580,82.7470,-3.6575
54,335.1810,82.9081,-3.4745
55,341.3664,83.0426,-3.4068
56,347.4291,83.1247,-3.0421
57,353.2961,83.3877,-2.2211
58,359.6340,83.5221,-2.4149
59,365.4889,83.5921,-1.5394
60,371.7608,83.7731,-1.5384
61,377.8967,83.9197,-1.2233
62,384.1246,84.0571,-1.0797
63,390.2507,84.1541,-0.7013
64,396.4302,84.2921,-0.4110
65,402.1966,84.3106,0.7414
66,409.1216,84.6514,-0.4362
67,414.9738,84.8017,0.5818
68,420.9338,84.9431,1.3941
69,425.3354,84.7212,5.2863
70,-50.3261,68.7384,-17.5607
71,-44.2412,69.0412,-20.2529
72,17.6523,71.0922,-19.9496
73,22.8812,70.8817,-18.0218
74,28.6758,71.2984,-18.4637
75,40.0261,71.4171,-18.2525
76,45.7332,71.5900,-18.2189
77,51.1890,71.6536,-17.1611
78,56.7455,71.8310,-16.4851
79,62.3979,71.9380,-16.1622
80,67.9728,71.9910,-15.5217
81,73.6211,72.1644,-15.1320
82,79.3692,72.1931,-15.0903
83,84.4345,72.2204,-12.5389
84,89.9281,72.3382,-11.5493
85,95.6075,72.4798,-11.2059
86,101.7398,72.7352,-12.4088
87,107.5412,72.8699,-12.4138
88,113.3146,72.9433,-12.2915
89,119.0834,73.0853,-12.1203
90,124.9011,73.2385,-12.0805
91,130.6272,73.3675,-11.7098
92,136.3999,73.5288,-11.4639
93,142.0893,73.6240,-10.9281
94,147.9689,73.7398,-10.9695
95,153.8501,73.8735,-10.9809
96,159.5906,73.9793,-10.5287
97,165.3493,74.1127,-10.1085
98,171.2655,74.2764,-10.1365
99,177.0723,74.4336,-9.8082
100,182.8547,74.5315,-9.3854
101,188.6637,74.6543,-9.0169
102,194.5828,74.8059,-8.9386
103,200.2957,74.9278,-8.2480
104,206.2935,75.0627,-8.3385
105,212.1630,75.1730,-8.0412
106,217.9766,75.2994,-7.5655
107,223.9510,75.4194,-7.5052
108,229.8227,75.5660,-7.1388
109,235.7322,75.7631,-6.8481
110,241.7237,75.8279,-6.7529
111,247.6662,75.9720,-6.4992
112,253.6305,76.1077,-6.2768
113,259.5030,76.2791,-5.7942
114,265.5354,76.3679,-5.6968
115,271.5556,76.4905,-5.5402
116,277.5254,76.6255,-5.2322
117,283.5576,76.7823,-5.0526
118,289.6109,76.8983,-4.8996
119,295.6336,77.0533,-4.6458
120,301.6846,77.1782,-4.4358
121,307.6830,77.3043,-4.0772
122,313.8015,77.4557,-3.9756
123,319.8524,77.5898,-3.6919
124,325.9614,77.7417,-3.5169
125,332.0532,77.8660,-3.2791
126,338.1663,78.0076,-3.0644
127,344.2618,78.1391,-2.7866
128,350.3971,78.2493,-2.5744
129,356.5523,78.3934,-2.3805
130,362.7095,78.5671,-2.1659
131,368.8339,78.7057,-1.8582
132,375.0229,78.8523,-1.6654
133,381.1867,78.9651,-1.3966
134,387.3676,79.1312,-1.1395
135,393.5472,79.2446,-0.8586
136,399.7999,79.4220,-0.7037
137,406.3237,79.2077,-1.0879
138,412.5354,79.7280,-0.7875
139,418.2931,79.7531,0.4276
140,423.4952,79.8061,2.7516
141,-199.3996,61.1662,-29.2704
142,-183.3937,61.5041,-26.9015
143,-178.1097,61.5785,-25.5861
144,-172.5438,61.8210,-26.9484
145,-123.8034,63.0905,-23.9272
146,-118.4436,63.1774,-23.0247
147,-113.0992,63.3160,-22.0057
148,-107.8709,63.2552,-20.2141
149,-102.3478,63.4187,-20.3831
150,-96.7256,63.6437,-21.1276
151,-74.6020,64.2305,-21.1995
152,-69.1883,64.2772,-20.4319
153,-63.6975,64.4474,-20.0790
154,-58.1661,64.5495,-19.9228
155,-52.7022,64.6237,-19.3650
156,-47.1827,64.7651,-19.0764
157,-41.6530,64.8825,-18.8103
